
 Z=74  Tungsten (W)                    Atomic Weight (nat)=183.850
 Photo-Atomic Cross Sections           (1 cm2/gm=305.2906 barn/atom)
 NP= 332                               Data from EPDL97

Column definitions:
  EMeV   Incident photon energy (MeV)
  XXXba  Cross Section for process XXX, barn/atom
  XXXcg  Cross Section for process XXX, cm2/gm
  XXX    Tot: Total cross section (Coh+Inc+ppT+PE)
          PE: Photo-electric ionization     (W K-edge= 6.9689E-02 MeV)
         Coh: Coherent  (Rayleigh) scattering
         Inc: Incoherent (Compton) scattering
         ppn: Pair production from nucleus
         ppe: Pair production from electrons
         ppT: Total pair prod (=ppn+ppe)

   EMeV       Totba     PEba      Cohba     Incba     ppnba     ppeba     ppTba       Totcg     PEcg      Cohcg     Inccg     ppncg     ppecg     ppTcg
 1.8000E-02 2.636E+04 2.563E+04 7.135E+02 2.110E+01 0.000E+00 0.000E+00 0.000E+00   8.635E+01 8.394E+01 2.337E+00 6.912E-02 0.000E+00 0.000E+00 0.000E+00
 1.9000E-02 2.292E+04 2.223E+04 6.691E+02 2.172E+01 0.000E+00 0.000E+00 0.000E+00   7.508E+01 7.282E+01 2.192E+00 7.115E-02 0.000E+00 0.000E+00 0.000E+00
 2.0000E-02 2.007E+04 1.941E+04 6.291E+02 2.232E+01 0.000E+00 0.000E+00 0.000E+00   6.573E+01 6.359E+01 2.061E+00 7.312E-02 0.000E+00 0.000E+00 0.000E+00
 2.2000E-02 1.564E+04 1.506E+04 5.578E+02 2.337E+01 0.000E+00 0.000E+00 0.000E+00   5.124E+01 4.934E+01 1.827E+00 7.654E-02 0.000E+00 0.000E+00 0.000E+00
 2.4000E-02 1.246E+04 1.194E+04 4.974E+02 2.436E+01 0.000E+00 0.000E+00 0.000E+00   4.082E+01 3.911E+01 1.629E+00 7.980E-02 0.000E+00 0.000E+00 0.000E+00
 2.6000E-02 1.010E+04 9.628E+03 4.460E+02 2.523E+01 0.000E+00 0.000E+00 0.000E+00   3.308E+01 3.154E+01 1.461E+00 8.266E-02 0.000E+00 0.000E+00 0.000E+00
 2.8000E-02 8.310E+03 7.883E+03 4.016E+02 2.596E+01 0.000E+00 0.000E+00 0.000E+00   2.722E+01 2.582E+01 1.316E+00 8.504E-02 0.000E+00 0.000E+00 0.000E+00
 3.0000E-02 6.931E+03 6.541E+03 3.632E+02 2.666E+01 0.000E+00 0.000E+00 0.000E+00   2.270E+01 2.143E+01 1.190E+00 8.733E-02 0.000E+00 0.000E+00 0.000E+00
 3.2000E-02 5.846E+03 5.489E+03 3.298E+02 2.730E+01 0.000E+00 0.000E+00 0.000E+00   1.915E+01 1.798E+01 1.080E+00 8.942E-02 0.000E+00 0.000E+00 0.000E+00
 3.4000E-02 4.981E+03 4.653E+03 3.009E+02 2.778E+01 0.000E+00 0.000E+00 0.000E+00   1.632E+01 1.524E+01 9.857E-01 9.101E-02 0.000E+00 0.000E+00 0.000E+00
 3.6000E-02 4.285E+03 3.982E+03 2.753E+02 2.825E+01 0.000E+00 0.000E+00 0.000E+00   1.404E+01 1.304E+01 9.018E-01 9.253E-02 0.000E+00 0.000E+00 0.000E+00
 3.8000E-02 3.715E+03 3.434E+03 2.526E+02 2.869E+01 0.000E+00 0.000E+00 0.000E+00   1.217E+01 1.125E+01 8.275E-01 9.399E-02 0.000E+00 0.000E+00 0.000E+00
